store_id,store_name,address,category,lat,lng,annual_sales_usd,matched,layer,scrape_id,scrape_name,distance_m,similarity,nearest_non_7eleven_id,nearest_non_7eleven_name,nearest_non_7eleven_dist_m,review_flag,note
RBA2006025,ภาวินช็อป,94/7 หมู่2 ต.บางพระ อ.ศรีราชา,Minimart,13.21249,100.943287,"15,667.65",covered,3_base_100m,ChIJU65q73i2AjER91_OgISIrPg,7-Eleven,99,0.0,ChIJWQLh6Nq3AjER7PsXIE0N6Do,CJ MORE ซีเจ มอร์ สาขาเลียบรางรถไฟบางพระ,442,auto_matched,"3_base_100m hit at 99m, sim 0.0"
RBA2006026,ร้านซูเปอร์,70 หมู่2 ต.บางพระ อ.ศรีราชา,Minimart,13.218488,100.94111,"13,024.47",gap,-,,,,,ChIJT-5W8tK1AjERkV6FgUoHu58,Lotus's Go Fresh Market Bang Phra,426,true_gap,nearest non-7-Eleven pin: 426m (Lotus's Go Fresh Market Bang Phra)
RBA2006028,บริษัท เบสท์ แฟคตอรี่ เอาท์เล็ท จำกัด,629 หมู่11 ถนนสุขาภิบาล8 ต.หนองขาม อ.ศรีราชา,OTHERS (CREDIT),13.0818159,100.936024,"52,870.62",gap,-,,,,,ChIJo3dwGwC5AjEREqkVnBulsts,Lotus's go fresh แหลมฉบังใต้ 3729,383,true_gap,nearest non-7-Eleven pin: 383m (Lotus's go fresh แหลมฉบังใต้ 3729)
RBA2006283,ศรีราชามาร์ทวังหิน,26/309 ม.1 ต.สุรศักดิ์ อ.ศรีราชา,Minimart,12.66391833,101.2430917,"38,552.16",gap,-,,,,,ChIJAyTgnSH7AjERQlKCBLX6eEk,Pand Brandy Rayong,1427,true_gap,nearest non-7-Eleven pin: 1427m (Pand Brandy Rayong)
RBA2006324,ร้านสหกรณ์กองบัญชาการช่วยรบที่1 จำกัด,480 หมู่ 1 ต.เกาะจันทร์ อ.เกาะจันทร์,Minimart,13.001465,101.0762617,"7,555.27",gap,-,,,,,ChIJRfbjo5jDAjERNmAc86xpYvo,CJ MORE ซีเจ มอร์ สาขาโป่งสะเก็ด,877,true_gap,nearest non-7-Eleven pin: 877m (CJ MORE ซีเจ มอร์ สาขาโป่งสะเก็ด)
RBA2006338,บริษัท ซีโน คอนดอม จำกัด (สำนักงานใหญ่),34/176 ม.2 ต.หนองปรือ อ.บางละมุง,B2B,12.70867833,101.170965,"534,087.72",gap,-,,,,,ChIJq5UV2zD7AjERAptgX6cPnbU,Mini Big C Sukhumvit-Rayong 38,415,true_gap,nearest non-7-Eleven pin: 415m (Mini Big C Sukhumvit-Rayong 38)
RBA2006340,โลมามินิมาร์ท,207/356 ม.11 ต.หนองขาม อ.ศรีราชา,Minimart,12.7087155,101.1710227,"20,157.62",gap,-,,,,,ChIJq5UV2zD7AjERAptgX6cPnbU,Mini Big C Sukhumvit-Rayong 38,418,true_gap,nearest non-7-Eleven pin: 418m (Mini Big C Sukhumvit-Rayong 38)
RBA2006343,บริษัท มีดี ศรีราชา จำกัด (สำนักงานใหญ่),"45,47,67/2-5 ถ.สุรศักดิ์1 ต.ศรีราชา อ.ศรีราชา",Minimart,13.16094833,100.9317167,"25,034.92",gap,-,,,,,ChIJd1TOqVHIAjERNsYxm8TU1G8,Tops Robinson Sri Racha,782,true_gap,nearest non-7-Eleven pin: 782m (Tops Robinson Sri Racha)
RBA2006347,บริษัท นิธิ ออล จำกัด (สำนักงานใหญ่),9 ถ.สุรศักดิ์1 ต.ศรีราชา อ.ศรีราชา,SUPERMARKET,13.16104667,100.93132,"1,972.80",gap,-,,,,,ChIJd1TOqVHIAjERNsYxm8TU1G8,Tops Robinson Sri Racha,765,true_gap,nearest non-7-Eleven pin: 765m (Tops Robinson Sri Racha)
RBA2006348,มิตรอารีย์ เทรดเดอร์,125/48 ม.3 ต.บ่อวิน อ.ศรีราชา,SUPERMARKET,12.70864667,101.17102,"38,407.86",gap,-,,,,,ChIJq5UV2zD7AjERAptgX6cPnbU,Mini Big C Sukhumvit-Rayong 38,421,true_gap,nearest non-7-Eleven pin: 421m (Mini Big C Sukhumvit-Rayong 38)
RBA2006350,พัทยา บิวตี้ (สำนักงานใหญ่),32/17-18 ม.10 ถ.พัทยาใต้ ต.หนองปรือ อ.บางละมุง,Minimart,12.90677833,100.89696,"227,279.76",covered,3_base_100m,ChIJz2teONGVAjERMXkXR23JhFk,Jiffy,49,0.0,ChIJz2teONGVAjERMXkXR23JhFk,Jiffy,49,auto_matched,"3_base_100m hit at 49m, sim 0.0"
RBA2006353,บริษัท สี่แยกเซนเตอร์ จำกัด,18/1 ม.8 ต.มาบโป่ง อ.พานทอง,SEMI WHOLESALE,13.00131833,101.07625,"32,144.76",gap,-,,,,,ChIJRfbjo5jDAjERNmAc86xpYvo,CJ MORE ซีเจ มอร์ สาขาโป่งสะเก็ด,885,true_gap,nearest non-7-Eleven pin: 885m (CJ MORE ซีเจ มอร์ สาขาโป่งสะเก็ด)
RBA2006355,บริษัท ศรีธิคำ มาร์เก็ตติ้ง จำกัด,226/90 ม.4 ต.นาจอมเทียน อ.สัตหีบ,SEMI WHOLESALE,13.98980167,101.7177167,"22,224.12",gap,-,,,,,ChIJzxoJlS3PHDERnzms8cySL6c,CJ MORE ซีเจ มอร์ สาขาท่าตะเกียบ,61897,out_of_scrape_area,out of Chon Buri scrape area (nearest pin 61km)
RBA2006356,บริษัท ศรีธิคำ มาร์เก็ตติ้ง จำกัด,57/5 ม.6 ต.หนองปลาไหล อ.บางละมุง,SEMI WHOLESALE,12.965165,100.9188533,"56,758.44",gap,-,,,,,ChIJJ_FD6B-_AjERNN7tiq6c-ok,CJ More (Chaiyapruek),500,true_gap,nearest non-7-Eleven pin: 500m (CJ More (Chaiyapruek))
RBA2004690,บริษัทสรรพสินค้าชลบุรี จำกัด,117/21 หมู่ 15 ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ ,SEMI WHOLESALE,13.21326167,100.9437067,"27,964.44",covered,3_base_200m,ChIJU65q73i2AjER91_OgISIrPg,7-Eleven,84,0.0,ChIJWQLh6Nq3AjER7PsXIE0N6Do,CJ MORE ซีเจ มอร์ สาขาเลียบรางรถไฟบางพระ,398,auto_matched,"3_base_200m hit at 84m, sim 0.0"
RBA2004692,ร้านแบล็ค แอนด์ บราวน์,115 ม.2 ต.บางพระ อ.ศรีราชา จ.ชลบุรี ,OTHERS (VAN),13.146438,100.9550416,"348,384.00",gap,-,,,,,ChIJ1fTDkkW3AjERFNKhvGHodp0,CJ MORE ซีเจ มอร์ สาขาหนองยายบู่,200,REVIEW_close_no_name_match,nearest pin only 55m away (7-Eleven สาขา ตลาดโรงกระถาง (11253)) — could be same store; bigram sim 0.0
RBA2004693,ร้านชายน้อย1,217/18 หมู่ 10 ซอย8 ถนนชายหาด ต.หนองปรือ อ.บางละมุง จ.ชลบุรี ,MOM AND POP LARGE,13.374928,101.0119683,"40,475.52",gap,-,,,,,ChIJw41qlXk1HTERXajZOilNwLU,ไทยฟู้ดส์ เฟรซ มาร์เก็ต สาขาตลาด SP,331,true_gap,nearest non-7-Eleven pin: 331m (ไทยฟู้ดส์ เฟรซ มาร์เก็ต สาขาตลาด SP)
RBA2004716,ร้านใช้ฮั้วเฮง,117 ต.คลองกิ่ว อ.บ้านบึง จ.ชลบุรี ,MINIMART,13.250152,101.155341,"103,572.00",gap,-,,,,,ChIJa5htNqTNAjERUxnmxderKpA,Mini Big C,405,true_gap,nearest non-7-Eleven pin: 405m (Mini Big C)
